col,time_len,lan_type,model_name,training_time
totalGold,25,Mixed,SVC,0.001398312996025146
totalGold,25,Mixed,XGB,0.001840637999121047
totalGold,25,Mixed,knn,0.002225737998960486
totalGold,30,Exponential,LR,0.002577203006367147
totalGold,30,Exponential,RF,0.010198622001334976
totalGold,30,Exponential,SVC,0.0027210410020779307
totalGold,30,Exponential,XGB,0.003093580001150207
totalGold,30,Exponential,knn,0.003462050003581629
totalGold,30,Linear,LR,0.001005407003685783
totalGold,30,Linear,RF,0.007598226998234121
totalGold,30,Linear,SVC,0.001040837000473354
totalGold,30,Linear,XGB,0.001377975000650572
totalGold,30,Linear,knn,0.00175688700110181
totalGold,30,Mixed,LR,0.001422611002926665
totalGold,30,Mixed,RF,0.008577545000589404
totalGold,30,Mixed,SVC,0.001456878997269039
totalGold,30,Mixed,XGB,0.001799937998875925
totalGold,30,Mixed,knn,0.002287881997763127
xp,5,Exponential,LR,0.0025614519999362017
xp,5,Exponential,RF,0.008365604004356953
xp,5,Exponential,SVC,0.002926714999484783
xp,5,Exponential,XGB,0.003048639000626227
xp,5,Exponential,knn,0.0034296379983424657
xp,5,Linear,LR,0.000963423001812727
xp,5,Linear,RF,0.007276198996696577
xp,5,Linear,SVC,0.001289647998637471
xp,5,Linear,XGB,0.001412544001941518
xp,5,Linear,knn,0.0018339369993190721
xp,5,Mixed,LR,0.001387313998420675
xp,5,Mixed,RF,0.008606285000569142
xp,5,Mixed,SVC,0.0018574010010342509
xp,5,Mixed,XGB,0.001796512000728348
xp,5,Mixed,knn,0.0022406189941102162
xp,10,Exponential,LR,0.002556013001594642
xp,10,Exponential,RF,0.0096422169997822
xp,10,Exponential,SVC,0.0027952430030563306
xp,10,Exponential,XGB,0.0030445750046055246
xp,10,Exponential,knn,0.0034102289984002197
xp,10,Linear,LR,0.000973051000037182
xp,10,Linear,RF,0.008636804002453525
xp,10,Linear,SVC,0.00114348500792398
xp,10,Linear,XGB,0.001381882997229647
xp,10,Linear,knn,0.001842299998970649
xp,10,Mixed,LR,0.001403558001620646
xp,10,Mixed,RF,0.008033398000406984
xp,10,Mixed,SVC,0.0015701720019569098
xp,10,Mixed,XGB,0.001780983003554812
xp,10,Mixed,knn,0.002248642002814394
xp,15,Exponential,LR,0.0025379419978707562
xp,15,Exponential,RF,0.01157140600087582
xp,15,Exponential,SVC,0.0027512729947920373
xp,15,Exponential,XGB,0.003017502996954086
xp,15,Exponential,knn,0.003479135996894862
xp,15,Linear,LR,0.000986043000011653
xp,15,Linear,RF,0.008207260998315124
xp,15,Linear,SVC,0.001068046999280291
xp,15,Linear,XGB,0.001393039998365515
xp,15,Linear,knn,0.0018462439993163079
xp,15,Mixed,LR,0.001464110999950152
xp,15,Mixed,RF,0.006916509002330667
xp,15,Mixed,SVC,0.0014888479997170639
xp,15,Mixed,XGB,0.001846368998521892
xp,15,Mixed,knn,0.002236925000324795
xp,20,Exponential,LR,0.00252561699948269
xp,20,Exponential,RF,0.010233793000224931
xp,20,Exponential,SVC,0.0027335209993179397
xp,20,Exponential,XGB,0.00305211999977468
xp,20,Exponential,knn,0.003470603001769585
xp,20,Linear,LR,0.0009675409988266879
xp,20,Linear,RF,0.008999531998997501
xp,20,Linear,SVC,0.001075027998303947
xp,20,Linear,XGB,0.001406852997606569
xp,20,Linear,knn,0.001839834001148078
xp,20,Mixed,LR,0.0013678269990486569
xp,20,Mixed,RF,0.008357732999720556
xp,20,Mixed,SVC,0.0014808520011137679
xp,20,Mixed,XGB,0.001811439000302874
xp,20,Mixed,knn,0.002269322998472436
xp,25,Exponential,LR,0.002549033001996529
xp,25,Exponential,RF,0.009042756992857854
xp,25,Exponential,SVC,0.002690950004616705
xp,25,Exponential,XGB,0.0030582649994175372
xp,25,Exponential,knn,0.0034055879979859537
xp,25,Linear,LR,0.000967403998947661
xp,25,Linear,RF,0.00811443500162563
xp,25,Linear,SVC,0.00102798299689306
xp,25,Linear,XGB,0.001365694999694774
xp,25,Linear,knn,0.001835705998237194
xp,25,Mixed,LR,0.001439314991584929
xp,25,Mixed,RF,0.006826514999265736
xp,25,Mixed,SVC,0.001484303000033784
xp,25,Mixed,XGB,0.00182568699703547
xp,25,Mixed,knn,0.0022506360005354028
xp,30,Exponential,LR,0.0025822560000232793
xp,30,Exponential,RF,0.009268694997299412
xp,30,Exponential,SVC,0.002691198998945714
xp,30,Exponential,XGB,0.0030646550009259498
xp,30,Exponential,knn,0.003419275000342118
xp,30,Linear,LR,0.000980570997926353
xp,30,Linear,RF,0.006609076999593478
xp,30,Linear,SVC,0.001042393000679974
xp,30,Linear,XGB,0.001379912999109308
xp,30,Linear,knn,0.0018011230020783331
xp,30,Mixed,LR,0.001394784001167819
xp,30,Mixed,RF,0.007664076996734315
xp,30,Mixed,SVC,0.001447504003881426
xp,30,Mixed,XGB,0.001788584003807
xp,30,Mixed,knn,0.002229451000457584
