tier,time_len,col,lan_type,model_name,match_id,training_time
EMERALD,20,4col,Exponential,RF,KR_6656499891,0.0193177000037394
BRONZE,10,4col,Exponential,RF,KR_6643461539,0.0193137999740429
GRANDMASTER,10,4col,Exponential,RF,KR_6720090100,0.0193123000208288
GRANDMASTER,10,4col,Exponential,RF,KR_6702013093,0.0193120000185444
GRANDMASTER,15,4col,Exponential,RF,KR_6702013093,0.0193118000170215
IRON,5,4col,Exponential,RF,KR_6718588302,0.0193114999565295
BRONZE,20,4col,Exponential,RF,KR_6623220455,0.0193109999527223
GOLD,15,4col,Exponential,RF,KR_6685691130,0.0193050000234507
GRANDMASTER,20,4col,Exponential,RF,KR_6720045022,0.0193046000204049
EMERALD,5,4col,Exponential,RF,KR_6720745651,0.0193034000112675
IRON,15,4col,Exponential,RF,KR_6707011931,0.0193032000097446
BRONZE,5,4col,Exponential,RF,KR_6718308708,0.0193030000082217
IRON,15,4col,Exponential,RF,KR_6628785661,0.019294700003229
GRANDMASTER,20,4col,Exponential,RF,KR_6720031714,0.0192946000024676
EMERALD,20,4col,Exponential,RF,KR_6716865681,0.0192933999933302
SILVER,5,4col,Exponential,RF,KR_6709199827,0.0192904000286944
GOLD,5,4col,Exponential,RF,KR_6706170670,0.01929010002641
IRON,10,4col,Exponential,RF,KR_6693725199,0.0192864999989978
IRON,10,4col,Exponential,RF,KR_6704855811,0.0192852999898605
SILVER,5,4col,Exponential,RF,KR_6722571790,0.0192839999799616
EMERALD,15,4col,Exponential,RF,KR_6656499891,0.0192803000099957
GRANDMASTER,20,4col,Exponential,RF,KR_6718820761,0.0192769999848678
IRON,30,4col,Exponential,RF,KR_6707011931,0.0192726999521255
GRANDMASTER,20,4col,Exponential,RF,KR_6702013093,0.0192707999958656
SILVER,5,4col,Exponential,RF,KR_6672584601,0.0192659000167623
GOLD,20,4col,Exponential,RF,KR_6722209068,0.0192653000121936
GOLD,15,4col,Exponential,RF,KR_6713953115,0.0192640000022947
BRONZE,10,4col,Exponential,RF,KR_6718308708,0.0192596999695524
GOLD,15,4col,Exponential,RF,KR_6722209068,0.0192583000170998
DIAMOND,15,4col,Exponential,RF,KR_6713438037,0.0192470999900251
GOLD,10,4col,Exponential,RF,KR_6722864607,0.0192461000406183
BRONZE,20,4col,Exponential,RF,KR_6698859172,0.0192460000398568
GOLD,5,4col,Exponential,RF,KR_6722864607,0.0192439000238664
GRANDMASTER,10,4col,Exponential,RF,KR_6718820761,0.0192411000025458
GRANDMASTER,20,4col,Exponential,RF,KR_6720191687,0.0192406999995
IRON,30,4col,Exponential,RF,KR_6704855811,0.0192392999888397
MASTER,5,4col,Exponential,RF,KR_6719844876,0.019238699984271
IRON,30,4col,Exponential,RF,KR_6692638149,0.0192377000348642
GOLD,25,4col,Exponential,RF,KR_6722209068,0.0192357000196352
GOLD,15,4col,Exponential,RF,KR_6706170670,0.0192351000150665
MASTER,5,4col,Exponential,RF,KR_6721374687,0.0192338000051677
DIAMOND,25,4col,Exponential,RF,KR_6718954639,0.0192328999983146
PLATINUM,25,4col,Exponential,RF,KR_6720862597,0.0192315999884158
DIAMOND,25,4col,Exponential,RF,KR_6697626991,0.0192269000108353
GRANDMASTER,15,4col,Exponential,RF,KR_6720090100,0.0192237999872304
IRON,15,4col,Exponential,RF,KR_6693725199,0.0192214999697171
BRONZE,20,4col,Exponential,RF,KR_6643461539,0.0192204999621026
GOLD,15,4col,Exponential,RF,KR_6716122402,0.0192199000157415
EMERALD,20,4col,Exponential,RF,KR_6706440997,0.0192185000050812
GOLD,5,4col,Exponential,RF,KR_6713953115,0.0192153000389225
EMERALD,20,4col,Exponential,RF,KR_6688779490,0.0192145999753847
GRANDMASTER,10,4col,Exponential,RF,KR_6720031714,0.0192013999912887
IRON,15,4col,Exponential,RF,KR_6718588302,0.0191974999615922
DIAMOND,15,4col,Exponential,RF,KR_6720008037,0.0191812999546527
BRONZE,10,4col,Exponential,RF,KR_6719801174,0.0191759999725036
IRON,5,4col,Exponential,RF,KR_6693725199,0.0191747000208124
GRANDMASTER,15,4col,Exponential,RF,KR_6720191687,0.0191730000078678
BRONZE,15,4col,Exponential,RF,KR_6623220455,0.0191668000188656
GOLD,25,4col,Exponential,RF,KR_6716122402,0.0191621999838389
GRANDMASTER,15,4col,Exponential,RF,KR_6718820761,0.0191585999564267
BRONZE,20,4col,Exponential,RF,KR_6718308708,0.0191482999944128
DIAMOND,25,4col,Exponential,RF,KR_6720008037,0.0191480999928899
GRANDMASTER,20,4col,Exponential,RF,KR_6720090100,0.0191424000076949
GRANDMASTER,15,4col,Exponential,RF,KR_6720031714,0.0191128000151366
BRONZE,10,4col,Mixed,RF,KR_6719801174,0.0182133999769575
GRANDMASTER,30,4col,Mixed,RF,KR_6702013093,0.0178611999726854
CHALLENGER,25,4col,Exponential,RF,KR_6720411617,0.017447899968829
PLATINUM,20,4col,Exponential,RF,KR_6658164740,0.0174098999705165
CHALLENGER,15,4col,Exponential,RF,KR_6719124350,0.0167948000016622
IRON,20,4col,Exponential,RF,KR_6618104295,0.0167898999643512
CHALLENGER,30,4col,Exponential,RF,KR_6720275332,0.0165062000160105
DIAMOND,20,4col,Exponential,RF,KR_6719888945,0.016288999991957
CHALLENGER,25,4col,Mixed,RF,KR_6718952462,0.0162123999907635
CHALLENGER,25,4col,Exponential,RF,KR_6720369775,0.0161669999943114
BRONZE,30,4col,Exponential,RF,KR_6722673207,0.0161340999766252
CHALLENGER,5,4col,Exponential,RF,KR_6720411617,0.0160842000041157
CHALLENGER,5,4col,Exponential,RF,KR_6718989642,0.0160137999919243
EMERALD,25,4col,Mixed,knn,KR_6656499891,0.01590070000384
CHALLENGER,20,4col,Exponential,RF,KR_6719124350,0.0158985999878495
PLATINUM,5,4col,Mixed,RF,KR_6720721077,0.0158822000375948
PLATINUM,15,4col,Exponential,RF,KR_6720945585,0.0158553000073879
CHALLENGER,10,4col,Exponential,RF,KR_6720369775,0.0158399000065401
SILVER,25,4col,Exponential,RF,KR_6722876813,0.0157854999997653
CHALLENGER,5,4col,Exponential,RF,KR_6720369775,0.0157674999791197
CHALLENGER,20,4col,Exponential,RF,KR_6718989642,0.0157554000033997
PLATINUM,30,4col,Exponential,RF,KR_6628974366,0.015723499993328
DIAMOND,5,4col,Mixed,RF,KR_6719888945,0.0157216000370681
CHALLENGER,5,4col,Exponential,RF,KR_6719124350,0.0156854999950155
CHALLENGER,30,4col,Exponential,RF,KR_6720411617,0.0156764999846927
MASTER,20,4col,Exponential,RF,KR_6711732043,0.0156375999795272
IRON,25,4col,Exponential,RF,KR_6618104295,0.0156147999805398
GRANDMASTER,20,4col,Mixed,RF,KR_6717156971,0.0156016999972052
BRONZE,25,4col,Exponential,RF,KR_6643461539,0.0155988999758847
